#SuperClass	SubClasses	
OrganismModel	AnimalModel
AnimalModel	RatModel
AnimalModel	MouseModel
AnimalModel	RabbitModel
AnimalModel	MonkeyModel
AnimalModel	DogModel
AnimalModel	CatModel
AnimalModel	GuineaPigModel
AgeCategory	Adult
AgeCategory	Young
AgeCategory	Aged
Gender	Female
Gender	Male
Gender	Mixed
OrganismSpecies	AnimalSpecies
AnimalSpecies	RatSpecies
AnimalSpecies	MouseSpecies
AnimalSpecies	CatSpecies
AnimalSpecies	DogSpecies
AnimalSpecies	MonkeySpecies
AnimalSpecies	RabbitSpecies
AnimalSpecies	GuineaPigSpecies
RatSpecies	WistarRat
RatSpecies	SpragueDawleyRat
RatSpecies	ListerHoodedRat
RatSpecies	FischerRat
RatSpecies	LongEvansRat
RatSpecies	LewisRat
MouseSpecies	BALB_C_Mouse
MouseSpecies	C57_BL6_Mouse
MouseSpecies	CD1_Mouse
RabbitSpecies	NewZealandRabbit
GuineaPigSpecies	HartleyGuineaPig
MonkeySpecies	MacaqueMonkey